id	status	priority	kind	asm_file	start_ref	end_ref	target_file	depends_on	description	owner_lane
sf-map-level1_1-opening	done	P0	map	reference/ultrastarfox/SF/MAPS/LEVEL1_1.ASM	L17	L67	src/map/levels.c	-	Post-scramble LEVEL1_1 opening through mapjsr map1_1b is active in C.	map
sf-map-map1_1b-body	done	P0	map	reference/ultrastarfox/SF/MAPS/1-1.ASM	L7	L236	src/map/levels.c	sf-map-level1_1-opening	Literal MAP1_1B include body for 1-1 is active in C.	map
sf-map-map1_1b-boss	done	P0	map	reference/ultrastarfox/SF/MAPS/MAP1_1B.ASM	fadeoutbgm	maprts	src/map/levels.c	sf-map-map1_1b-body	MAP1_1B boss block and mapwaitboss bridge are active in C.	map
sf-path-pathdata-route1	done	P0	path	reference/ultrastarfox/SF/PATH/PATHDATA.ASM	friend_inib	e_ufo	src/path/path_literals.c	sf-map-map1_1b-body	Route1 PATHDATA support currently used by 1-1 is active in C.	path
sf-path-dpathdat-route1	done	P0	path	reference/ultrastarfox/SF/PATH/DPATHDAT.ASM	tow_0	robotswithlog	src/path/path_literals.c	sf-map-map1_1b-body	Route1 DPATHDAT support currently used by 1-1 is active in C.	path
sf-istrat-gistrats-friendexitbase	done	P0	istrat	reference/ultrastarfox/SF/STRAT/GISTRATS.ASM	friendexitbase_Istrat	friendexitbase_strat	src/strat/strat_enemy.c	sf-map-level1_1-opening	Friend exit base slice is active in C.	strat
sf-istrat-ga2strat-gate3	done	P0	istrat	reference/ultrastarfox/SF/STRAT/GA2STRAT.ASM	gate3_Istrat	gate3_strat	src/strat/strat_enemy.c	sf-map-map1_1b-body	Gate3 slice used by 1-1 is active in C.	strat
sf-istrat-gastrats-route1	done	P0	istrat	reference/ultrastarfox/SF/STRAT/GASTRATS.ASM	rader0_Istrat	item5_strat	src/strat/strat_enemy.c	sf-map-map1_1b-body	Route1 combat/item subset used by 1-1 is active in C.	strat
sf-istrat-gb3strat-boss7-core	done	P0	istrat	reference/ultrastarfox/SF/STRAT/GB3STRAT.ASM	boss7_Istrat	boss7e_strat	src/strat/strat_enemy.c	sf-map-map1_1b-boss	Boss7 parent/child core loop is ported in C.	strat
sf-istrat-gb3strat-boss7-alldead	done	P0	istrat	reference/ultrastarfox/SF/STRAT/GB3STRAT.ASM	boss7alldead_init	boss7alldeadb_strat	src/strat/strat_enemy.c	sf-istrat-gb3strat-boss7-core	Boss7 post-armor loop is ported in C.	strat
