# Authoritative ISTRAT name->index map (index = 0-based def_istrat row in
# ISTRATS.ASM). Calibrated offset-0 vs 9 known registrations 50..197.
# There is NO '+1 drift past 162' — that was a misconception that caused
# sf-map IS_* const bugs (kdoor/walls/misstank). Use THIS to register + place.
index	name
0	MACRO
1	player
2	pbody
3	plwing
4	prwing
5	exitlight3
6	exitlight4
7	exitlight5
8	exitlight6
9	stayrel
10	staydist
11	nocoll
12	gnd
13	exit
14	exitopen
15	exitopensnd
16	clshipGNDa
17	clshipGNDb
18	clshipGNDc
19	clshipWARPa
20	clshipWARPb
21	clshipWARPc
22	clshipSHIPa
23	clshipSHIPb
24	clshipSHIPc
25	clshipEARTHa
26	clshipEARTHb
27	clshipEARTHc
28	clshipTURNa
29	clshipTURNb
30	clshipTURNc
31	clshipBRIDGEa
32	clshipBRIDGEb
33	clshipBRIDGEc
34	clshipCHASEa
35	clshipCHASEb
36	clshipCHASEc
37	clshipDIVEa
38	clshipDIVEb
39	clshipDIVEc
40	clshipUNDERa
41	clshipUNDERb
42	clshipUNDERc
43	clship1
44	clship2
45	clship3
46	playerwarp
47	fastfighter1
48	iris
49	truck
50	trackcorner
51	misstank
52	wormhead
53	gate
54	woods
55	kami
56	sokuten
57	largeplasma
58	flingboss
59	deadflingboss
60	shark
61	worm
62	worm2
63	cameleon
64	cameleon2
65	bee1
66	fighter
67	windmill
68	misspod
69	boss1
70	ship1a
71	ship2
72	ship3
73	ship3a
74	flypillars
75	wallleftright
76	walll
77	wallr
78	walking
79	pillar3
80	torpedo
81	seamon
82	nucleusbeamL
83	boss8shrap
84	boss8
85	bossA
86	nucleuslauncher
87	nucleuspillar
88	wireman
89	bomwing
90	up1man
91	winglazerman
92	rader0
93	rader1
94	zacos
95	zaco1L
96	zaco1R
97	houdai
98	houdaiNS
99	boss7
100	zaco3
101	tower0
102	zaco0
103	zaco4
104	hardenemy1
105	hard180YR
106	hard180YRNZR
107	para
108	boss2
109	friend1
110	friend2
111	core1
112	core0
113	fzaco
114	friend0
115	bossB
116	bossf
117	chicken
118	bossBrob
119	madbiker
120	madtrucker
121	roadline
122	intro1pfall
123	webmonster
124	castanet
125	door1
126	airship
127	hard90yr
128	amoeba
129	szaco2
130	szaco0
131	cruiser2fire
132	cruiser2
133	ships
134	sdoor1
135	sdoor2
136	leng0
137	stayrelhard180yr
138	base0
139	carrier
140	kdoor
141	kichi2
142	kdoor2
143	massivebase
144	bossg
145	topright1
146	topleft1
147	botright1
148	botleft1
149	rightwall
150	leftwall
151	duct
152	friendexitbase
153	cruiser1
154	cruiser1F
155	warker3
156	szaco5
157	path
158	bazookaL
159	bazookaR
160	uperM
161	warp
162	tank2
163	tzaco7cat
164	twall0
165	dragonfly
166	spacebar
167	SPINspacebar
168	spacebar1
169	spacebar3
170	colony0
171	colony1
172	colony2
173	spacebarwalker
174	spacebarshoot
175	item5
176	item6
177	item7
178	shou0
179	shou0a
180	walker2
181	hard180YRfog
182	base1
183	hard90yrfog
184	tank1a
185	tank0
186	tank1
187	tank3
188	houdai5f
189	houdai5
190	pillar3f
191	particlefire
192	volcano
193	rockhard
194	firepillar
195	meteo0
196	blackhole
197	seadragon2
198	lochnessmonster
199	aircar1
200	aircar2
201	aircar3
202	aircar4
203	aircar5
204	tree1
205	tree2
206	tree3
207	mine2
208	gate2
209	sfish
210	hardRot
211	lastb2
212	lastb3
213	lastb4
214	truck1
215	truck2
216	monolith
217	lseqdoor1
218	lseqdoor2
219	pshipoutofLB1
220	viewoutofLB1
221	nocollanim0
222	pshipoutofLB3
223	viewoutofLB3
224	shipoutofLB3
225	helpball
226	hard
227	saucer
228	tadpole
229	patht
230	base_1
231	exitopensnd2
232	openlr
233	updoor
234	big_meteor
235	break_meteor
236	colonyexit
237	ship0cdown
238	break_meteort
239	shipintro
240	boss7intro
241	skillfly
242	tit
243	pathdha
244	bholeexit1
245	bholeexit2
246	bholeexit3
