SLIMECOUNT	$0000162b
SLIPPYTXT	$0001e804
SFREE_L	$000afb28
L2SMOKE	$0000966c
BADFEND	$001fc8cb
BAD_FOBJ	$001fc810
SIXSPR	$0003d3c1
L2SMOKE	$0011edb4
CACHEON	$00000001
GUNX	$000012cb
GUNY	$000012cc
BEAMBOXAP	$00000008
BEAMBOXHP	$0000000a
BEAMBOX_COL1	$007e65a0
BEAMBOX_COL2	$007e65b2
BEAMBOX_COL3	$007e65c4
K	$00000400
BGANDPCR	$00208318
ANALOGSTICK	$00000000
BGANDCCR	$0005f8fb
ADDRESS	$000000e9
SR8_ACHASE_ALVAR1	$001fd876
SR8_ACHASE_ALVAR2	$001fd8a2
SR8_ACHASE_ALVAR3	$001fd8d5
SR8_ACHASE_ALVAR4	$001fd90f
SR8_ACHASE_ALVAR5	$001fd950
SR8_ACHASE_ALVAR6	$001fd998
SR8_ACHASE_ALVAR7	$001fd9e7
ADDALVARPTRBDO	$0003e386
ADD2POSOBJYFOBJX_L	$001fd490
ADDALVARPTRWDO	$0003e3b8
ADD_OBJVECS_L	$001fd009
ADDVECS0_L	$001fc7bb
ADDVECS2_L	$001fc7b1
ADDVECS4_L	$001fc7a1
ADDALVECS_L	$001fc7d3
ADDVECS_L	$001fc7b9
ADDSVARS2POSY	$0006b0c9
ADDRND2POSXYZ2_SROU	$0006b299
ADDRND2POSY_SROU	$0006b260
ADDYROT2Z_SROU	$00088131
DADDVECS2POS_X	$0009803b
FACE_FALCO1	$00000009
FACE_FALCO2	$0000000a
FACE_0	$0000b9a3
FACE_1	$0000cef7
FACE_B	$0000b917
FACE_FRAME0	$00000000
FACE_FRAME1	$00000001
FACE_FRAME2	$00000002
FACE_FRAME3	$00000003
FACE_FRAME4	$00000004
FACE_ANYONE	$00000011
ACF_FIRSTFRAME	$00000004
FACE_FOX1	$00000005
FACE_FOX2	$00000006
FACE_PEPPY1	$00000007
FACE_PEPPY2	$00000008
ACF_WEAPON	$00000002
FACE_ANDROSS1	$0000000f
FACE_ANDROSS2	$00000010
FACE_PEPPER1	$0000000d
FACE_PEPPER2	$0000000e
FACE_0_1	$0000b9bf
FACE_BOX	$0000a5bb
FACE_SLIPPY1	$0000000b
FACE_SLIPPY2	$0000000c
ACF_COLLTYPE1	$00000008
ACF_COLLTYPE2	$00000010
ACF_COLLTYPE3	$00000020
ACF_COLLTYPE4	$00000040
ACF_COLLTYPE5	$00000080
ACF_COLLTYPE6	$00000001
FACE_0COL	$007e7d88
FACE_1COL	$007e7dbe
FACE_0COLL	$007e7d9a
FACE_0COLR	$007e7dac
FACE_1COLL	$007e7dd0
FACE_1COLR	$007e7de2
FACEFIRE	$0004d8f2
FACEPLAYER_STRAT	$00218b5b
FACE_0	$000f8000
FACE_1	$00118000
FACE_B	$000f8000
FACE_BOX_F1	$000cea5c
FACE_0_F1	$000fe96f
FACE_0_F3	$000fe97a
FACE_0_F4	$000fea15
FACE_0_F6	$000fea20
FACE_0_F8	$000fea2b
FACE_1_F1	$0011eb36
FACE_1_F3	$0011eb41
FACE_1_F5	$0011eb4c
FACE_1_F7	$0011eb57
FACE_1_F9	$0011eb62
FACE_B_F1	$000fe19b
FACE_0_F10	$000fea36
FACE_0_F11	$000fea66
FACE_0_F13	$000fea71
FACE_0_F20	$000feb02
FACE_0_F21	$000feb1f
FACE_0_F14	$000feab2
FACE_0_F15	$000feacf
FACE_0_F23	$000feb2a
FACE_0_F16	$000feaec
FACE_0_F24	$000feb63
FACE_0_F18	$000feaf7
FACE_1_F10	$0011ebca
FACE_1_F12	$0011ebd5
FACE_1_F13	$0011ebf2
