frame,slot,xx,xy,xz,yx,yy,yz,zx,zy,zz,x,y,z,nx,ny,nz,distance
193,4,-12539,30270,0,-30271,-12539,0,0,0,32764,-850,0,1507,-30264,12528,0,785
193,5,-12539,30270,0,-30271,-12539,0,0,0,32764,-850,0,1507,30256,-12536,0,-785
197,4,-12539,30270,0,-30271,-12539,0,0,0,32764,-850,0,1507,-30264,12528,0,785
197,5,-12539,30270,0,-30271,-12539,0,0,0,32764,-850,0,1507,30256,-12536,0,-785
200,4,-12539,30270,0,-30271,-12539,0,0,0,32764,-850,0,1507,-30264,12528,0,785
200,5,-12539,30270,0,-30271,-12539,0,0,0,32764,-850,0,1507,30256,-12536,0,-785
203,4,-12539,30270,0,-30271,-12539,0,0,0,32764,-850,0,1507,-30264,12528,0,785
203,5,-12539,30270,0,-30271,-12539,0,0,0,32764,-850,0,1507,30256,-12536,0,-785
206,4,-12539,30270,0,-30271,-12539,0,0,0,32764,-850,0,1507,-30264,12528,0,785
206,5,-12539,30270,0,-30271,-12539,0,0,0,32764,-850,0,1507,30256,-12536,0,-785
209,4,-12539,30270,0,-30271,-12539,0,0,0,32764,-850,0,1507,-30264,12528,0,785
209,5,-12539,30270,0,-30271,-12539,0,0,0,32764,-850,0,1507,30256,-12536,0,-785
213,4,-12539,30270,0,-30271,-12539,0,0,0,32764,-850,0,1507,-30264,12528,0,785
213,5,-12539,30270,0,-30271,-12539,0,0,0,32764,-850,0,1507,30256,-12536,0,-785
216,4,-12539,30270,0,-30271,-12539,0,0,0,32764,-850,0,1507,-30264,12528,0,785
216,5,-12539,30270,0,-30271,-12539,0,0,0,32764,-850,0,1507,30256,-12536,0,-785
220,4,-12539,30270,0,-30271,-12539,0,0,0,32764,-850,0,1507,-30264,12528,0,785
220,5,-12539,30270,0,-30271,-12539,0,0,0,32764,-850,0,1507,30256,-12536,0,-785
223,4,-12539,30270,0,-30271,-12539,0,0,0,32764,-850,0,1507,-30264,12528,0,785
223,5,-12539,30270,0,-30271,-12539,0,0,0,32764,-850,0,1507,30256,-12536,0,-785
227,4,-12539,30270,0,-30271,-12539,0,0,0,32764,-850,0,1507,-30264,12528,0,785
227,5,-12539,30270,0,-30271,-12539,0,0,0,32764,-850,0,1507,30256,-12536,0,-785
230,4,-12539,30270,0,-30271,-12539,0,0,0,32764,-850,0,1507,-30264,12528,0,785
230,5,-12539,30270,0,-30271,-12539,0,0,0,32764,-850,0,1507,30256,-12536,0,-785
234,4,-12539,30270,0,-30271,-12539,0,0,0,32764,-850,0,1507,-30264,12528,0,785
234,5,-12539,30270,0,-30271,-12539,0,0,0,32764,-850,0,1507,30256,-12536,0,-785
237,4,-12539,30270,0,-30271,-12539,0,0,0,32764,-850,0,1507,-30264,12528,0,785
237,5,-12539,30270,0,-30271,-12539,0,0,0,32764,-850,0,1507,30256,-12536,0,-785
240,4,-12539,30270,0,-30271,-12539,0,0,0,32764,-850,0,1507,-30264,12528,0,785
240,5,-12539,30270,0,-30271,-12539,0,0,0,32764,-850,0,1507,30256,-12536,0,-785
243,4,-12539,30270,0,-30271,-12539,0,0,0,32764,-850,0,1507,-30264,12528,0,785
243,5,-12539,30270,0,-30271,-12539,0,0,0,32764,-850,0,1507,30256,-12536,0,-785
247,4,-12539,30270,0,-30271,-12539,0,0,0,32764,-850,0,1507,-30264,12528,0,785
247,5,-12539,30270,0,-30271,-12539,0,0,0,32764,-850,0,1507,30256,-12536,0,-785
250,4,-12539,30270,0,-30271,-12539,0,0,0,32764,-850,0,1507,-30264,12528,0,785
250,5,-12539,30270,0,-30271,-12539,0,0,0,32764,-850,0,1507,30256,-12536,0,-785
253,4,-12539,30270,0,-30271,-12539,0,0,0,32764,-850,0,1507,-30264,12528,0,785
253,5,-12539,30270,0,-30271,-12539,0,0,0,32764,-850,0,1507,30256,-12536,0,-785
257,4,-12539,30270,0,-30271,-12539,0,0,0,32764,-700,0,1507,-30264,12528,0,646
257,5,-12539,30270,0,-30271,-12539,0,0,0,32764,-700,0,1507,30256,-12536,0,-647
260,4,-12539,30270,0,-30271,-12539,0,0,0,32764,-550,0,1507,-30264,12528,0,507
260,5,-12539,30270,0,-30271,-12539,0,0,0,32764,-550,0,1507,30256,-12536,0,-508
264,4,-12539,30270,0,-30271,-12539,0,0,0,32764,-400,0,1507,-30264,12528,0,369
264,5,-12539,30270,0,-30271,-12539,0,0,0,32764,-400,0,1507,30256,-12536,0,-370
268,4,-12539,30270,0,-30271,-12539,0,0,0,32764,-250,0,1507,-30264,12528,0,230
268,5,-12539,30270,0,-30271,-12539,0,0,0,32764,-250,0,1507,30256,-12536,0,-231
272,4,-12539,30270,0,-30271,-12539,0,0,0,32764,-100,0,1507,-30264,12528,0,92
272,5,-12539,30270,0,-30271,-12539,0,0,0,32764,-100,0,1507,30256,-12536,0,-93
276,4,-12539,30270,0,-30271,-12539,0,0,0,32764,49,0,1507,-30264,12528,0,-46
276,5,-12539,30270,0,-30271,-12539,0,0,0,32764,49,0,1507,30256,-12536,0,45
280,4,-12539,30270,0,-30271,-12539,0,0,0,32764,199,0,1507,-30264,12528,0,-184
281,5,-12539,30270,0,-30271,-12539,0,0,0,32764,199,0,1507,30256,-12536,0,183
285,4,-12539,30270,0,-30271,-12539,0,0,0,32764,349,0,1507,-30264,12528,0,-323
285,5,-12539,30270,0,-30271,-12539,0,0,0,32764,349,0,1507,30256,-12536,0,322
290,4,-12539,30270,0,-30271,-12539,0,0,0,32764,499,0,1507,-30264,12528,0,-461
290,5,-12539,30270,0,-30271,-12539,0,0,0,32764,499,0,1507,30256,-12536,0,460
294,4,-12539,30270,0,-30271,-12539,0,0,0,32764,649,0,1507,-30264,12528,0,-600
294,5,-12539,30270,0,-30271,-12539,0,0,0,32764,649,0,1507,30256,-12536,0,599
299,4,-12539,30270,0,-30271,-12539,0,0,0,32764,799,0,1507,-30264,12528,0,-738
299,5,-12539,30270,0,-30271,-12539,0,0,0,32764,799,0,1507,30256,-12536,0,737
304,4,-12539,30270,0,-30271,-12539,0,0,0,32764,949,0,1507,-30264,12528,0,-877
304,5,-12539,30270,0,-30271,-12539,0,0,0,32764,949,0,1507,30256,-12536,0,876
308,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
308,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
312,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
312,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
317,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
317,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
321,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
321,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
325,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
325,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
329,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
329,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
334,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
334,5,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,30256,-12536,0,1014
338,4,-12539,30270,0,-30271,-12539,0,0,0,32764,1099,0,1507,-30264,12528,0,-1016
